,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.3129996061325073,0.68,0
1,बाघ,बिल्ली,0.5336024761199951,0.7000000000000001,1
2,किताब,कागज़,0.5469305515289307,0.76,1
3,कंप्यूटर,कीबोर्ड,0.7682934999465942,0.76,1
4,कंप्यूटर,इंटरनेट,0.8108631372451782,0.8,1
5,विमान,कार,0.6373138427734375,0.6000000000000001,1
6,रेलगाड़ी,कार,0.7488715648651123,0.6200000000000001,1
7,टेलीफोन,संचार,0.3745673894882202,0.76,0
8,टेलीविजन,रेडियो,0.8019670248031616,0.6400000000000001,1
9,मीडिया,रेडियो,0.49652931094169617,0.58,1
10,ब्रेड,मक्खन,0.823698878288269,0.66,1
11,खीरा,आलू,0.8303862810134888,0.58,1
12,चिकित्सक,नर्स,0.7180417776107788,0.76,1
13,प्रोफ़ेसर,चिकित्सक,0.47066348791122437,0.45999999999999996,1
14,छात्र,प्रोफ़ेसर,0.4458838403224945,0.7000000000000001,1
15,होशियार,छात्र,0.2221747785806656,0.52,0
16,होशियार,बेवकूफ,0.6045511960983276,0.6200000000000001,1
17,किताब,पुस्तकालय,0.2882695198059082,0.76,0
18,बैंक,पैसे,0.43558093905448914,0.8,1
19,लकड़ी,जंगल,0.5527214407920837,0.7000000000000001,1
20,प्रोफ़ेसर,खीरा,-0.00515621667727828,0.0,1
21,राजा,रानी,0.661905825138092,0.82,1
22,बिशप,रबी,-0.11893065273761749,0.7000000000000001,0
23,यरूशलेम,इजराइल,0.5509077310562134,0.78,1
24,पवित्र,सेक्स,0.09757401049137115,0.1,1
25,माराडोना,फ़ुटबॉल,0.7276397943496704,0.78,1
26,फ़ुटबॉल,सॉकर,0.8768568634986877,0.9,1
27,फ़ुटबॉल,बास्केटबाल,0.7947431206703186,0.6400000000000001,1
28,फ़ुटबॉल,टेनिस,0.842240571975708,0.58,1
29,टेनिस,रैकेट,0.22198627889156342,0.7400000000000001,0
30,कानून,वकील,0.3841879367828369,0.78,0
31,चलचित्र,पॉपकॉर्न,0.24394677579402924,0.66,0
32,चलचित्र,आलोचक,0.3586593568325043,0.66,0
33,चलचित्र,थिएटर,0.5928102135658264,0.8400000000000001,1
34,पीना,कार,0.014033539220690727,0.13999999999999999,1
35,पीना,कान,0.1351213902235031,0.04000000000000001,1
36,पीना,मुंह,0.22652241587638855,0.7000000000000001,0
37,बच्चा,मां,0.5297820568084717,0.7200000000000001,1
38,पीना,मां,0.16959014534950256,0.18000000000000002,1
39,मणि,गहना,0.3614458441734314,0.68,0
40,भट्ठी,स्टोव,0.7895334362983704,0.8400000000000001,1
41,भोजन,फल,0.6405231356620789,0.66,1
42,पक्षी,सारस,0.8715890049934387,0.7400000000000001,1
43,भाई,साधु,0.3442344665527344,0.13999999999999999,1
44,यात्रा,कार,0.37126174569129944,0.6200000000000001,0
45,साधु,गुलाम,0.20122456550598145,0.020000000000000004,1
46,कांच,जादूगर,0.22748997807502747,0.2,1
47,पैसे,मुद्रा,0.274284303188324,0.86,0
48,पैसे,धन,0.6681554317474365,0.9199999999999999,1
49,पैसे,संपत्ति,0.4640902578830719,0.8400000000000001,1
50,पैसे,बैंक,0.43558093905448914,0.82,1
51,पैसे,जमा,0.4152074158191681,0.66,1
52,पैसे,ऑपरेशन,0.1544610857963562,0.26,1
53,बाघ,जैगुआर,0.2182716280221939,0.8,0
54,बाघ,जानवर,0.7367997169494629,0.76,1
55,बाघ,चिड़ियाघर,0.6227161288261414,0.68,1
56,मनोविज्ञान,चिंता,0.16610094904899597,0.6200000000000001,0
57,मनोविज्ञान,डर,-0.040998175740242004,0.52,0
58,मनोविज्ञान,डिप्रेशन,0.37255433201789856,0.7000000000000001,0
59,मनोविज्ञान,क्लिनिक,0.3094649910926819,0.6400000000000001,0
60,मनोविज्ञान,चिकित्सक,0.45283475518226624,0.7000000000000001,1
61,मनोविज्ञान,मन,0.2513045072555542,0.7400000000000001,0
62,मनोविज्ञान,स्वास्थ्य,0.43044158816337585,0.6200000000000001,1
63,मनोविज्ञान,विज्ञान,0.7902854084968567,0.7000000000000001,1
64,मनोविज्ञान,अनुशासन,0.5841777324676514,0.42000000000000004,1
65,Accuracy:,70.76923076923077, , , 
