,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.41127458214759827,0.68,0
1,बाघ,बिल्ली,0.6974892616271973,0.7000000000000001,1
2,किताब,कागज़,0.5985890626907349,0.76,0
3,कंप्यूटर,कीबोर्ड,0.753007709980011,0.76,1
4,कंप्यूटर,इंटरनेट,0.8131584525108337,0.8,1
5,विमान,कार,0.7014315128326416,0.6000000000000001,1
6,रेलगाड़ी,कार,0.6653253436088562,0.6200000000000001,1
7,टेलीफोन,संचार,0.6113987565040588,0.76,1
8,टेलीविजन,रेडियो,0.8476101160049438,0.6400000000000001,1
9,मीडिया,रेडियो,0.6366760730743408,0.58,0
10,ब्रेड,मक्खन,0.7680883407592773,0.66,1
11,खीरा,आलू,0.8642041087150574,0.58,0
12,चिकित्सक,नर्स,0.7309511303901672,0.76,1
13,प्रोफ़ेसर,चिकित्सक,0.619077205657959,0.45999999999999996,0
14,छात्र,प्रोफ़ेसर,0.5580413937568665,0.7000000000000001,0
15,होशियार,छात्र,0.5130172371864319,0.52,1
16,होशियार,बेवकूफ,0.6153295636177063,0.6200000000000001,1
17,किताब,पुस्तकालय,0.5099877715110779,0.76,0
18,बैंक,पैसे,0.5893449187278748,0.8,0
19,लकड़ी,जंगल,0.6346297860145569,0.7000000000000001,1
20,प्रोफ़ेसर,खीरा,0.15091772377490997,0.0,1
21,राजा,रानी,0.7525456547737122,0.82,1
22,बिशप,रबी,0.1172432079911232,0.7000000000000001,0
23,यरूशलेम,इजराइल,0.5763266682624817,0.78,0
24,पवित्र,सेक्स,0.2694661021232605,0.1,1
25,माराडोना,फ़ुटबॉल,0.7882922291755676,0.78,1
26,फ़ुटबॉल,सॉकर,0.8880375027656555,0.9,1
27,फ़ुटबॉल,बास्केटबाल,0.783748984336853,0.6400000000000001,1
28,फ़ुटबॉल,टेनिस,0.8265293836593628,0.58,0
29,टेनिस,रैकेट,0.57451993227005,0.7400000000000001,0
30,कानून,वकील,0.5455710291862488,0.78,0
31,चलचित्र,पॉपकॉर्न,0.3934198319911957,0.66,0
32,चलचित्र,आलोचक,0.38334178924560547,0.66,0
33,चलचित्र,थिएटर,0.6506989598274231,0.8400000000000001,1
34,पीना,कार,0.4159301817417145,0.13999999999999999,1
35,पीना,कान,0.491963654756546,0.04000000000000001,1
36,पीना,मुंह,0.5231119990348816,0.7000000000000001,0
37,बच्चा,मां,0.5782908201217651,0.7200000000000001,0
38,पीना,मां,0.4072490930557251,0.18000000000000002,1
39,मणि,गहना,0.47731244564056396,0.68,0
40,भट्ठी,स्टोव,0.7744543552398682,0.8400000000000001,1
41,भोजन,फल,0.6963860392570496,0.66,1
42,पक्षी,सारस,0.914248526096344,0.7400000000000001,1
43,भाई,साधु,0.40118277072906494,0.13999999999999999,1
44,यात्रा,कार,0.48428767919540405,0.6200000000000001,0
45,साधु,गुलाम,0.29473447799682617,0.020000000000000004,1
46,कांच,जादूगर,0.45029667019844055,0.2,1
47,पैसे,मुद्रा,0.5498537421226501,0.86,0
48,पैसे,धन,0.673179030418396,0.9199999999999999,1
49,पैसे,संपत्ति,0.6241676211357117,0.8400000000000001,1
50,पैसे,बैंक,0.5893449187278748,0.82,0
51,पैसे,जमा,0.6243771910667419,0.66,1
52,पैसे,ऑपरेशन,0.4203757345676422,0.26,1
53,बाघ,जैगुआर,0.5031123161315918,0.8,0
54,बाघ,जानवर,0.7669290900230408,0.76,1
55,बाघ,चिड़ियाघर,0.7363624572753906,0.68,1
56,मनोविज्ञान,चिंता,0.38289475440979004,0.6200000000000001,0
57,मनोविज्ञान,डर,0.2490256130695343,0.52,1
58,मनोविज्ञान,डिप्रेशन,0.5321744084358215,0.7000000000000001,0
59,मनोविज्ञान,क्लिनिक,0.5237718820571899,0.6400000000000001,0
60,मनोविज्ञान,चिकित्सक,0.6241835951805115,0.7000000000000001,1
61,मनोविज्ञान,मन,0.4440144896507263,0.7400000000000001,0
62,मनोविज्ञान,स्वास्थ्य,0.5524333119392395,0.6200000000000001,0
63,मनोविज्ञान,विज्ञान,0.848997950553894,0.7000000000000001,1
64,मनोविज्ञान,अनुशासन,0.6586152911186218,0.42000000000000004,0
65,Accuracy is:,56.92307692307692, , , 
