,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.34801455537752746,0.68,0
1,बाघ,बिल्ली,0.5456492759773398,0.7000000000000001,1
2,किताब,कागज़,0.5772483683253553,0.76,1
3,कंप्यूटर,कीबोर्ड,0.5557799396620198,0.76,1
4,कंप्यूटर,इंटरनेट,0.6982660767421116,0.8,1
5,विमान,कार,0.6010701311512701,0.6000000000000001,1
6,रेलगाड़ी,कार,0.5693607316364024,0.6200000000000001,1
7,टेलीफोन,संचार,0.5599376998623902,0.76,1
8,टेलीविजन,रेडियो,0.6654107970125888,0.6400000000000001,1
9,मीडिया,रेडियो,0.5226255659627412,0.58,1
10,ब्रेड,मक्खन,0.6223899680544392,0.66,1
11,खीरा,आलू,0.5697427985003493,0.58,1
12,चिकित्सक,नर्स,0.6946243071744398,0.76,1
13,प्रोफ़ेसर,चिकित्सक,0.423055893992357,0.45999999999999996,1
14,छात्र,प्रोफ़ेसर,0.4828631470650284,0.7000000000000001,1
15,होशियार,छात्र,0.389516370742418,0.52,0
16,होशियार,बेवकूफ,0.5703295367051461,0.6200000000000001,1
17,किताब,पुस्तकालय,0.4463667521211675,0.76,1
18,बैंक,पैसे,0.5727216587830005,0.8,1
19,लकड़ी,जंगल,0.566105934626541,0.7000000000000001,1
20,प्रोफ़ेसर,खीरा,-0.09180405557172079,0.0,1
21,राजा,रानी,0.6560090132816447,0.82,1
22,बिशप,रबी,0.07509658694115694,0.7000000000000001,0
23,यरूशलेम,इजराइल,0.44835385932028166,0.78,1
24,पवित्र,सेक्स,0.3076158648935881,0.1,1
25,माराडोना,फ़ुटबॉल,0.4155328426164095,0.78,1
26,फ़ुटबॉल,सॉकर,0.6615199562626906,0.9,1
27,फ़ुटबॉल,बास्केटबाल,0.46500581406794916,0.6400000000000001,1
28,फ़ुटबॉल,टेनिस,0.5496612360726071,0.58,1
29,टेनिस,रैकेट,0.4362918463622096,0.7400000000000001,1
30,कानून,वकील,0.5814512758280364,0.78,1
31,चलचित्र,पॉपकॉर्न,0.28328028241596803,0.66,0
32,चलचित्र,आलोचक,0.24103499418425892,0.66,0
33,चलचित्र,थिएटर,0.32928420521036705,0.8400000000000001,0
34,पीना,कार,0.24717386074878145,0.13999999999999999,1
35,पीना,कान,0.2940760044602511,0.04000000000000001,1
36,पीना,मुंह,0.48279057685925186,0.7000000000000001,1
37,बच्चा,मां,0.659481810626284,0.7200000000000001,1
38,पीना,मां,0.31777251252040756,0.18000000000000002,1
39,मणि,गहना,0.2945953189950714,0.68,0
40,भट्ठी,स्टोव,0.48474153274958326,0.8400000000000001,1
41,भोजन,फल,0.6671038705738209,0.66,1
42,पक्षी,सारस,0.6895947970503131,0.7400000000000001,1
43,भाई,साधु,0.39793450762662486,0.13999999999999999,1
44,यात्रा,कार,0.504565004630532,0.6200000000000001,1
45,साधु,गुलाम,0.20542455602579424,0.020000000000000004,1
46,कांच,जादूगर,0.22292475963852806,0.2,1
47,पैसे,मुद्रा,0.49579735185252133,0.86,1
48,पैसे,धन,0.7046532768580912,0.9199999999999999,1
49,पैसे,संपत्ति,0.6021394869574789,0.8400000000000001,1
50,पैसे,बैंक,0.5727216587830005,0.82,1
51,पैसे,जमा,0.6297255991860761,0.66,1
52,पैसे,ऑपरेशन,0.34406117573578393,0.26,1
53,बाघ,जैगुआर,0.27995894769002555,0.8,0
54,बाघ,जानवर,0.7211980220734991,0.76,1
55,बाघ,चिड़ियाघर,0.5449349661662158,0.68,1
56,मनोविज्ञान,चिंता,0.3234600471145072,0.6200000000000001,0
57,मनोविज्ञान,डर,0.249506540131516,0.52,0
58,मनोविज्ञान,डिप्रेशन,0.3333206888498893,0.7000000000000001,0
59,मनोविज्ञान,क्लिनिक,0.3333352263291817,0.6400000000000001,0
60,मनोविज्ञान,चिकित्सक,0.488069054726261,0.7000000000000001,1
61,मनोविज्ञान,मन,0.3659041887504645,0.7400000000000001,0
62,मनोविज्ञान,स्वास्थ्य,0.5156012645099256,0.6200000000000001,1
63,मनोविज्ञान,विज्ञान,0.7450683205393636,0.7000000000000001,1
64,मनोविज्ञान,अनुशासन,0.504124992848131,0.42000000000000004,1
65,Accuracy is:,80.0, , , 
