,Word1,Word2,Similarity Score,Ground Truth,Label
0,मोहब्बत,सेक्स,0.45561206340789795,0.68,0
1,बाघ,बिल्ली,0.6995612978935242,0.7000000000000001,1
2,किताब,कागज़,0.616740882396698,0.76,1
3,कंप्यूटर,कीबोर्ड,0.7387562394142151,0.76,1
4,कंप्यूटर,इंटरनेट,0.8132941126823425,0.8,1
5,विमान,कार,0.7317672371864319,0.6000000000000001,1
6,रेलगाड़ी,कार,0.7450867295265198,0.6200000000000001,1
7,टेलीफोन,संचार,0.6053941249847412,0.76,1
8,टेलीविजन,रेडियो,0.8331559300422668,0.6400000000000001,1
9,मीडिया,रेडियो,0.6608157753944397,0.58,0
10,ब्रेड,मक्खन,0.7836548686027527,0.66,1
11,खीरा,आलू,0.8782092928886414,0.58,0
12,चिकित्सक,नर्स,0.7488390803337097,0.76,1
13,प्रोफ़ेसर,चिकित्सक,0.5749286413192749,0.45999999999999996,1
14,छात्र,प्रोफ़ेसर,0.5532458424568176,0.7000000000000001,0
15,होशियार,छात्र,0.5035465359687805,0.52,1
16,होशियार,बेवकूफ,0.6357783079147339,0.6200000000000001,1
17,किताब,पुस्तकालय,0.5051687955856323,0.76,0
18,बैंक,पैसे,0.6151034235954285,0.8,1
19,लकड़ी,जंगल,0.6185673475265503,0.7000000000000001,1
20,प्रोफ़ेसर,खीरा,0.07584116607904434,0.0,1
21,राजा,रानी,0.7287682294845581,0.82,1
22,बिशप,रबी,0.057805825024843216,0.7000000000000001,0
23,यरूशलेम,इजराइल,0.5906176567077637,0.78,0
24,पवित्र,सेक्स,0.2598040997982025,0.1,1
25,माराडोना,फ़ुटबॉल,0.815798819065094,0.78,1
26,फ़ुटबॉल,सॉकर,0.8859202265739441,0.9,1
27,फ़ुटबॉल,बास्केटबाल,0.7552269697189331,0.6400000000000001,1
28,फ़ुटबॉल,टेनिस,0.8141264915466309,0.58,0
29,टेनिस,रैकेट,0.5473046898841858,0.7400000000000001,0
30,कानून,वकील,0.5814789533615112,0.78,0
31,चलचित्र,पॉपकॉर्न,0.3776335120201111,0.66,0
32,चलचित्र,आलोचक,0.41078871488571167,0.66,0
33,चलचित्र,थिएटर,0.60516357421875,0.8400000000000001,1
34,पीना,कार,0.27156099677085876,0.13999999999999999,1
35,पीना,कान,0.4698448181152344,0.04000000000000001,1
36,पीना,मुंह,0.5286826491355896,0.7000000000000001,0
37,बच्चा,मां,0.6127400994300842,0.7200000000000001,1
38,पीना,मां,0.38894087076187134,0.18000000000000002,1
39,मणि,गहना,0.41626495122909546,0.68,0
40,भट्ठी,स्टोव,0.7859680652618408,0.8400000000000001,1
41,भोजन,फल,0.7075400948524475,0.66,1
42,पक्षी,सारस,0.8990167379379272,0.7400000000000001,1
43,भाई,साधु,0.44862332940101624,0.13999999999999999,1
44,यात्रा,कार,0.5377228260040283,0.6200000000000001,0
45,साधु,गुलाम,0.3432703912258148,0.020000000000000004,1
46,कांच,जादूगर,0.4556710422039032,0.2,1
47,पैसे,मुद्रा,0.5651423335075378,0.86,0
48,पैसे,धन,0.7155184745788574,0.9199999999999999,1
49,पैसे,संपत्ति,0.6420890688896179,0.8400000000000001,1
50,पैसे,बैंक,0.6151034235954285,0.82,1
51,पैसे,जमा,0.6218357682228088,0.66,1
52,पैसे,ऑपरेशन,0.3837069869041443,0.26,1
53,बाघ,जैगुआर,0.4950258433818817,0.8,0
54,बाघ,जानवर,0.7793151140213013,0.76,1
55,बाघ,चिड़ियाघर,0.7320681810379028,0.68,1
56,मनोविज्ञान,चिंता,0.4206216335296631,0.6200000000000001,0
57,मनोविज्ञान,डर,0.28740525245666504,0.52,1
58,मनोविज्ञान,डिप्रेशन,0.5141924023628235,0.7000000000000001,0
59,मनोविज्ञान,क्लिनिक,0.518187940120697,0.6400000000000001,0
60,मनोविज्ञान,चिकित्सक,0.60052889585495,0.7000000000000001,1
61,मनोविज्ञान,मन,0.4590187966823578,0.7400000000000001,0
62,मनोविज्ञान,स्वास्थ्य,0.5584521889686584,0.6200000000000001,0
63,मनोविज्ञान,विज्ञान,0.8348416686058044,0.7000000000000001,1
64,मनोविज्ञान,अनुशासन,0.681334912776947,0.42000000000000004,0
65,Accuracy is:,64.61538461538461, , , 
